id;id_station;nom;desserte;gid;last_update;last_update_fme;lon;lat
79458884975;52214;Place Jean Jaurès;31663;1057;2024-06-24 02:31:18;2025-09-01 06:00:11;4,837024334901434;45,73724403959444
79431684217;52202;Debourg;46031;1059;2024-06-24 02:31:18;2025-09-01 06:00:11;4,833229858850956;45,73051151232349
79434784340;52203;Debourg;46032;1060;2024-06-24 02:31:18;2025-09-01 06:00:11;4,833671283922232;45,73160927978361
79430284223;52204;Debourg;46032;1061;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8330477532821075;45,7305657902159
79417483840;52001;Stade de Gerland Le LOU;46034,46033;1062;2024-06-24 02:31:18;2025-09-01 06:00:11;4,831253811967126;45,727155378945575
79413683722;52002;Stade de Gerland Le LOU;46034,46033;1063;2024-06-24 02:31:18;2025-09-01 06:00:11;4,830712493715564;45,726108882013214
79414083854;52003;Stade de Gerland Le LOU;46034,46033;1064;2024-06-24 02:31:18;2025-09-01 06:00:11;4,830821988453207;45,727294504930754
79410783732;52004;Stade de Gerland Le LOU;46034,46033;1065;2024-06-24 02:31:18;2025-09-01 06:00:11;4,830349093365456;45,72620643038111
79441388705;52221;Croix-Paquet;10787,10788;1066;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8363051366541905;45,77084044307503
79442488720;52222;Croix-Paquet;10788;1067;2024-06-24 02:31:18;2025-09-01 06:00:11;4,836449131637344;45,7709720751767
79406989098;52233;Croix-Rousse;644,643;1068;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8320422825137035;45,7744660619915
79407089079;52234;Croix-Rousse;644,643;1069;2024-06-24 02:31:18;2025-09-01 06:00:11;4,832055974589562;45,77429437530875
79369589602;50451;Hénon;30157;1070;2024-06-24 02:31:18;2025-09-01 06:00:11;4,82744459727449;45,779104186623506
79366489670;50452;Hénon;30157;1071;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8270797991864365;45,77972417646084
79370389688;50453;Hénon;30158;1072;2024-06-24 02:31:18;2025-09-01 06:00:11;4,827580625262494;45,779880760615576
79371589660;50454;Hénon;30158;1073;2024-06-24 02:31:18;2025-09-01 06:00:11;4,827728130745289;45,77962122546363
79857183143;50841;Parilly;30183,30184;1081;2024-06-24 02:31:18;2025-09-01 06:00:11;4,887413337908609;45,71961870085685
79859183123;50842;Parilly;30183,30184;1082;2024-06-24 02:31:18;2025-09-01 06:00:11;4,887659727340656;45,71943937339797
79860184408;50821;Mermoz - Pinel;30185,30186;1083;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8883277947413415;45,73098906148109
79840085288;50621;Laënnec;30187;1087;2024-06-24 02:31:18;2025-09-01 06:00:11;4,886115995815088;45,73896130311666
79328287274;50801;Minimes Théâtres Romains;30212,30213;1142;2024-06-24 02:31:18;2025-09-01 06:00:11;4,82119648431185;45,75829173629979
79222782365;59362;Oullins Centre;48136,48137;1148;2024-06-24 02:31:18;2025-09-01 06:00:11;4,805653092736491;45,71444594237489
79219680890;59371;St-Genis-Laval Hôp. Sud;48138,48139;1149;2024-06-24 02:31:18;2025-09-01 06:00:11;4,804669902521988;45,70119650391216
79216980898;59372;St-Genis-Laval Hôp. Sud;48138,48139;1150;2024-06-24 02:31:18;2025-09-01 06:00:11;4,804317565017183;45,70127446447272
79289682619;59041;Gare d'Oullins;46035,46036;1143;2024-06-24 02:31:18;2025-09-01 06:00:11;4,814344647575955;45,71654147323749
79294782638;59042;Gare d'Oullins;46035,46036;1144;2024-06-24 02:31:18;2025-09-01 06:00:11;4,815010903200599;45,71669867614616
79292282654;59043;Gare d'Oullins;46035,46036;1145;2024-06-24 02:31:18;2025-09-01 06:00:11;4,814700431381619;45,71685225174135
79286982634;59044;Gare d'Oullins;46035,46036;1146;2024-06-24 02:31:18;2025-09-01 06:00:11;4,814003042833834;45,716688533648586
79217982324;59361;Oullins Centre;48136,48137;1147;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8050218274845635;45,71409349333758
