gid;ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;couleur;couleur_hex;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme
1438;JD647;647202 L'ARBRESLE COLLEGE > ST ROMAIN DE POPEY;4232;;647202 L'ARBRESLE COLLEGE > ST ROMAIN DE POPEY;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243747+02:00
1412;JD636;636111 CHEVINAY LE BURDEL > L'ARBRESLE COLLEGE;4221;;636111 CHEVINAY LE BURDEL > L'ARBRESLE COLLEGE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243469+02:00
1399;JD596;596101 VILLECHENEVE LE BOURG >FEURS LYCEE DU FOREZ;4214;;596101 VILLECHENEVE LE BOURG >FEURS LYCEE DU FOREZ;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243330+02:00
1400;JD597;597101 SAINTE-FOY-L'ARGENTIERE HAUT DU VILLAGE > FEURS LYCEE DU FOREZ;4215;;597101 SAINTE-FOY-L'ARGENTIERE HAUT DU VILLAGE > FEURS LYCEE DU FOREZ;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243341+02:00
1413;JD636;636211 L'ARBRESLE COLLEGE > CHEVINAY LE BURDEL;4221;;636211 L'ARBRESLE COLLEGE > CHEVINAY LE BURDEL;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243480+02:00
1402;JD627;627102 CHEVINAY LE BURDEL > LENTILLY JACQUES COEUR;4217;;627102 CHEVINAY LE BURDEL > LENTILLY JACQUES COEUR;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243362+02:00
1403;JD627;627202 LENTILLY JACQUES COEUR > CHEVINAY LE BURDEL;4217;;627202 LENTILLY JACQUES COEUR > CHEVINAY LE BURDEL;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243373+02:00
1430;JD645;645101 BULLY LE TREVE > L'ARBRESLE COLLEGE;4230;;645101 BULLY LE TREVE > L'ARBRESLE COLLEGE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243661+02:00
1434;JD646;646104 BESSENAY BREVENNE > L'ARBRESLE COLLEGE;4231;;646104 BESSENAY BREVENNE > L'ARBRESLE COLLEGE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243704+02:00
1436;JD646;646202 L'ARBRESLE COLLEGE > BESSENAY LA BREVENNE;4231;;646202 L'ARBRESLE COLLEGE > BESSENAY LA BREVENNE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243725+02:00
1474;JD771;771103 BRINDAS COLLEGE CHARPAK > VAUGNERAY SAINT-LAURENT-DE-VAUX LE BOURG;4249;;771103 BRINDAS COLLEGE CHARPAK > VAUGNERAY SAINT-LAURENT-DE-VAUX LE BOURG;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.244130+02:00
1431;JD645;645201 L'ARBRESLE COLLEGE > BULLY LE VIEUX FOUR;4230;;645201 L'ARBRESLE COLLEGE > BULLY LE VIEUX FOUR;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243672+02:00
1432;JD646;646101 BESSENAY SALLE DES FETES > L'ARBRESLE COLLEGE;4231;;646101 BESSENAY SALLE DES FETES > L'ARBRESLE COLLEGE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.243683+02:00
